id,text,response,distress,role,stage,cancer_type,tone,length,channel,age_group,noisy
12,"The doctors are thorough, and I'm sure this will all be cleared up soon.",denial,low,neighbor,treatment,leukemia,formal,short,personal journal,middle-aged,False
13,"guess i'll finally try that thai place rn, chemo's makin me crave noodles somethin fierce",acceptance,medium,coworker,palliative,pancreatic,casual,short,online forum,elderly,True
14,My insides are crumbling and I can barely breathe thinking about it.,anxiety,high,patient,diagnosis,colon,messy,short,personal journal,elderly,False
15,"Hey. Guess the headaches are back, been a bit more tired than usual lately. Doc says it's not looking great this time, but hey, gotta keep on going right?  At least it's summer break so I can rest up a bit before starting chemo again.",sadness,low,coworker,relapse,brain,casual,long,SMS,teen,False
16,"It's just not fair! He was so young and healthy. How could something like this happen? Melanoma, of all things?  We had so many plans. Now what am I supposed to do with my life? 😠",anger,medium,spouse,bereavement,melanoma,casual,long,SMS,teen,False
17,"It's back. The chemo wasn't enough, and they say surgery won't fix it this time either. I can't stop crying. Everything feels impossible right now but I have to fight. I HAVE TO beat this, for me, for them... please just let there be a chance.",hope,high,adult child,relapse,breast,messy,long,SMS,young adult,False
18,"i keep thinking maybe if i was nicer to him before... u know, all this happened? it's so dumb rn, i mean how could that change anything right now??  Anyways gotta go make some spaghetti for dinner, mom will be back soon.",guilt,low,spouse,bereavement,leukemia,messy,long,personal journal,young adult,True
19,"rn mom says she feels good, just a bit tired. doc said it was nothin to worry about. we're going for a walk by the lake tomorrow morning, weather should be nice. i think they'll have her home soon, anyway gotta go fix dinner. thx",denial,medium,adult child,palliative,melanoma,formal,long,SMS,elderly,True
20,"cant stop shaking rn, spilled coffee all over the counter, what even is the point anymore.",acceptance,high,nurse or carer,remission,prostate,formal,short,personal journal,teen,True
21,"The biopsy results came back, and it appears I have melanoma.",anxiety,low,neighbor,diagnosis,melanoma,formal,short,personal journal,elderly,False
22,"Sometimes I think about how much easier it would have been if this hadn't happened.  I see other people my age doing things I used to take for granted and it just... hurts.  I guess you learn to live with it eventually, but right now it feels like a huge weight.",sadness,medium,adult child,remission,melanoma,messy,medium,online forum,young adult,False
23,"Seriously, how is this FAIR? My uncle was just laughing at my new shoes yesterday, and now he's GONE. Gone!!! Like it didn't even matter he was here. Stupid lymphoma. I hate it so much. I can't even think straight rn, everything just feels WRONG.  Wish he could try these on, they'd look SO good on him.",anger,high,coworker,bereavement,lymphoma,casual,long,SMS,teen,True
24,"Seriously rn u guys, things are looking up!! Been a few months since chemo and i swear it's like a whole new me! Got my energy back, can actually taste food again (even spicy stuff!), and this weekend we're finally going camping - remember how much i used to love that? Fingers crossed it stays this way, but man, feeling SO GOOD about the future.  Oh yeah, also just ordered new hiking boots!",hope,low,spouse,remission,breast,messy,long,online forum,young adult,True
25,"I was always so careful about my health, never smoked a day in my life. Now I'm facing this, and it feels like I must have done something to deserve it. How can I possibly explain this to my family?",guilt,medium,patient,treatment,lung,formal,medium,online forum,young adult,False
26,"This whole thing is just a nightmare, u know? They say melanoma, but it feels like somethin outta one of those sci-fi movies. I keep thinkin' they've got it wrong, this can't be happening to me. The dog keeps barkin at the mailman – guess he doesn't understand any of this either. How can life just... stop like this?   I need a drink.",denial,high,neighbor,treatment,melanoma,formal,long,personal journal,elderly,True
27,"The doctor explained that further treatment options are limited at this point, so I'm making arrangements to ensure my affairs are in order.",acceptance,low,neighbor,relapse,prostate,formal,short,personal journal,elderly,False
28,"omg this sucks rn, they said it came back!!  I thought we were done with all this crap. how am i supposed to deal with another round of chemo? and my history paper is due next week, ughhhh.",anxiety,medium,coworker,relapse,breast,messy,long,personal journal,teen,True
29,cant stop crying rn u know  the new potatoes are in and i just wanna go home and bake them but it's all pointless now,sadness,high,nurse or carer,diagnosis,prostate,formal,short,personal journal,elderly,True
30,"Remission rn, yay... guess I can finally get that tattoo I wanted 😤",anger,low,adult child,remission,ovarian,formal,short,SMS,teen,True
31,"I'm ready to fight this; I know with good treatment and support, things will get better.",hope,medium,support-group member,diagnosis,lung,formal,short,SMS,elderly,False
32,"This is all my fault, I should have listened to the doctor years ago.",guilt,high,coworker,diagnosis,colon,casual,short,SMS,middle-aged,False
33,"doc said it's all gone now! back to my roses, finally. rn they need a good trim tho, those suckers grow fast.  gonna bake a cake this weekend, celebrate. everything's gonna be just fine from here on out.",denial,low,neighbor,remission,pancreatic,messy,long,personal journal,elderly,True
34,"The chemo fog is real today. Couldn't focus on anything in English class. It's weird to think this is my life now, doctors' appointments and pills and worrying about my hair falling out.  Still going to hang with Sarah later though - gotta keep some things normal, right?",acceptance,medium,close friend,treatment,breast,messy,long,personal journal,teen,False
35,"brain scan results are back and rn i feel like im gonna puke. they said something about a tumor, and it's in my head. i can barely breathe. forgot to buy milk today, guess that doesnt matter now. what if this is it? how do people even deal with this???",anxiety,high,patient,diagnosis,brain,casual,long,personal journal,young adult,True
36,"Receiving this colon cancer diagnosis at my age feels incredibly unfair. I always thought this was something that happened much later in life.  It's hard to wrap my head around the changes I'll need to make, and what my future will look like now. Still, I'm trying to stay positive and focus on taking things one step at a time.",sadness,low,support-group member,diagnosis,colon,formal,long,online forum,young adult,False
37,"Is this truly all there is? I spent my life building a good world for my child, making sure they had every opportunity. And for what?  To be robbed of their future by a cruel and indifferent disease? It's simply not fair.",anger,medium,parent of a sick child,palliative,brain,formal,long,online forum,elderly,False
38,"My mind races constantly rn. They say remission but I can still FEEL it in my bones, you know? Everything tastes like metal and  I can't seem to sleep more than an hour at a time. Did I mention I finally fixed that squeaky hinge on the kitchen door? Feels good to accomplish SOMETHING. God, please just let me keep fighting this thing, please, for my kids.",hope,high,support-group member,remission,leukemia,formal,long,personal journal,middle-aged,True
39,Been thinking a lot lately if maybe I shouldn't have eaten so much junk food when I was younger.  Maybe that's why this is happening to me now.,guilt,low,coworker,treatment,leukemia,casual,medium,online forum,teen,False
40,"They said it's melanoma. It just doesn't seem possible. I mean, we are young and healthy! This must be some kind of mistake. We'll get a second opinion and figure this out.",denial,medium,spouse,diagnosis,melanoma,formal,long,SMS,young adult,False
41,"The chemo is brutal, I can barely function some days, but at least it's something we're doing.",acceptance,high,spouse,treatment,lymphoma,casual,short,SMS,middle-aged,False
42,"Got the biopsy results back today and it's melanoma.  Doctor said it's early stage, but still, melanoma? Me? I just turned 25! Guess this means sunscreen is my new best friend forever. Ugh.",anxiety,low,support-group member,diagnosis,melanoma,casual,long,online forum,young adult,False
43,"It's been six months since we lost him to the melanoma. I keep thinking about what could have been, if only things had gone differently.  Some days are easier than others, but the pain is still very real.",sadness,medium,spouse,bereavement,melanoma,formal,medium,SMS,young adult,False
44,stupid chemo did NOTHING it's just gone. GONE. why does everything suck so bad rn. forgot to get milk  ughhhhhhh,anger,high,parent of a sick child,bereavement,leukemia,messy,medium,SMS,teen,True
45,"Been in remission for a few months now, fingers crossed it stays that way! Gotta say, rn I'm really looking forward to getting back into my garden - tomatoes are my fave.",hope,low,coworker,remission,breast,formal,medium,online forum,middle-aged,True
46,"It's all my fault, I should have made him go to the doctor sooner.",guilt,medium,neighbor,palliative,pancreatic,messy,short,online forum,teen,False
47,"This whole thing just feels like a bad dream I can't wake up from.  Maybe if I pretend it's not real, it will go away. I keep thinking there's some mistake, that they mixed up my files, anything but this. I can't even bring myself to unpack the pamphlets they gave me – what good is information when you just want it all to disappear?",denial,high,adult child,palliative,breast,casual,long,personal journal,young adult,False
48,"It's been a few months since my last treatment and I'm adjusting to what this new normal looks like.  While there are still things I need to figure out, it feels good to be moving forward.",acceptance,low,patient,remission,lymphoma,formal,medium,online forum,young adult,False
49,"I just don't know what to do anymore. Everything seemed okay a few weeks ago, and now he's barely eating, sleeping all the time... and that cough just won't quit. The doctor keeps saying ""comfort care"" but it feels like giving up.  It just seems too soon for this.",anxiety,medium,nurse or carer,palliative,pancreatic,messy,long,online forum,young adult,False
50,"Mom had such a hopeful spirit during treatment, and she fought so hard. The doctors said they got it all last time. I just don't know what we're going to do now. My world feels like it's shattering.  I can barely breathe.",sadness,high,adult child,relapse,breast,formal,long,SMS,elderly,False
51,Seriously? Remission and they still want us to come back every month? 😠,anger,low,parent of a sick child,remission,colon,messy,short,SMS,teen,False
52,ugh this chemo is rough rn but little dude is smiling again today and that's all that matters.  Gotta keep pushing so we can get back to building that Lego castle he keeps asking for. 🍕,hope,medium,parent of a sick child,treatment,ovarian,casual,medium,online forum,young adult,True
53,"It's back again, and I can't shake this feeling that it's all my fault somehow.",guilt,high,parent of a sick child,relapse,lymphoma,casual,short,SMS,middle-aged,False
54,"rn gotta grab more coffee, doc said it was just a weird mole anyway",denial,low,coworker,bereavement,melanoma,casual,short,online forum,middle-aged,True
55,"Been processing things all day...lung cancer is a lot to take in, but we'll figure it out. I need to talk to my kids tonight.",acceptance,medium,close friend,diagnosis,lung,messy,medium,SMS,middle-aged,False
56,"My head is spinning, I can barely breathe, they said PANCREATIC CANCER!! 💔😭",anxiety,high,support-group member,diagnosis,pancreatic,messy,short,SMS,teen,False
57,"They told me today it's not really going to get better. I mean, I knew it was bad, but part of you always thinks...something will change, right?  Guess not this time. I wish I could just sleep for a long, long time and wake up when all this is over.  Maybe I can still make it out to that beach next month though.",sadness,low,patient,palliative,melanoma,messy,long,personal journal,young adult,False
58,"It's not fair! He fought so hard, and it still wasn't enough. What was even the point?",anger,medium,spouse,bereavement,lymphoma,messy,medium,personal journal,teen,False
59,"Chemo's killing me,  but I gotta keep going. This leukemia won't beat me, I know I can pull through. Just need a miracle, maybe one more shot.",hope,high,close friend,palliative,leukemia,messy,medium,SMS,elderly,False
60,"I keep thinking about all the burgers and fries I ate in college. Maybe if I'd been healthier back then...ugh. Anyway, chemo today was okay, just feeling a little drained afterwards. Gotta get some rest.",guilt,low,support-group member,treatment,prostate,casual,long,SMS,young adult,False
61,"They said it came back, but I don't see how that can be right. The doctors must be mistaken.",denial,medium,close friend,relapse,melanoma,formal,medium,SMS,young adult,False
62,"They said it came back. Again.  I just don't know what else to do anymore. My body feels like it's failing me and I can barely keep up with everything. The chemo makes everything taste awful, but what choice do I have? Sometimes the tears just come out of nowhere and I can't stop them.",acceptance,high,nurse or carer,relapse,ovarian,casual,long,online forum,elderly,False
63,ugh rn my head is just spinning. dad's lung cancer came back and it's worse this time. The doc said we gotta focus on keeping him comfy now.  I think I need to order more coffee beans online. This is just so unfair.,anxiety,low,adult child,bereavement,lung,casual,long,personal journal,middle-aged,True
64,"rn my fav coffee shop closed down, and it feels like everything else is just gone too 😔",sadness,medium,parent of a sick child,bereavement,leukemia,formal,short,online forum,teen,True
65,"It's just not fair! I quit smoking years ago, did everything right, and this is what I get? Stuck in this damn bed, gasping for every breath, knowing it won't be long.  Why me?",anger,high,neighbor,palliative,lung,casual,medium,personal journal,young adult,False
66,This setback is just another hurdle to clear on the path back to health.,hope,low,coworker,relapse,pancreatic,formal,short,personal journal,teen,False
67,"He was supposed to be fine rn, the doctor said it'd all go away. Remember that new coffee maker I bought him for christmas? Thought he deserved it after everything.  Maybe I should've pushed harder, made sure he got another check-up sooner...  it's all my fault.",guilt,medium,spouse,relapse,prostate,formal,long,personal journal,elderly,True
68,"This can't be happening.  They must be wrong. My child deserves a bright future, and I will do whatever it takes to make sure they have one.",denial,high,parent of a sick child,diagnosis,ovarian,formal,medium,personal journal,middle-aged,False
69,"Hey, remember that weird mole I had checked out a while back? Turns out it was melanoma and things have gotten pretty aggressive. The docs are focusing on keeping me comfortable now, which is alright.  It's been kind of a wild ride, but I guess we all gotta go sometime. Still enjoying the sunshine though!",acceptance,low,neighbor,palliative,melanoma,casual,long,SMS,young adult,False
70,"My leukemia seems to be returning despite the treatments.  I'm starting to feel overwhelmed with uncertainty about what comes next. I had hoped this wouldn't happen again, but it appears I have another difficult path ahead. I need to contact my doctor immediately and discuss all of my options.",anxiety,medium,neighbor,relapse,leukemia,formal,long,SMS,elderly,False
71,"They said it was gone, you know? I thought we were finally through it.  Now this. What's the point of anything anymore if I just keep getting kicked back down?",sadness,high,close friend,relapse,lung,messy,medium,online forum,middle-aged,False
72,This isn't fair; I'm only 23.,anger,low,support-group member,diagnosis,colon,formal,short,SMS,young adult,False
73,"Honey, they said the cancer's back but I'm not giving up! Gotta stay strong for u, right?  Remember that trip to Tahoe we were talking about? Gonna kick this thing and we'll be there soaking in that hot tub in no time.  Just need to get through these next few weeks. Did you remember to pick up milk on your way home?",hope,medium,spouse,relapse,pancreatic,casual,long,SMS,elderly,True
74,"It's all my fault, I should have listened to them about that cough.",guilt,high,coworker,relapse,brain,messy,short,personal journal,elderly,False
75,"It's been a few months since treatment ended and honestly? I feel like it never even happened. Back to normal life, back to work, everything's just… clicking along again. Maybe we caught this thing super early, who knows. Just glad to be moving on with things!",denial,low,nurse or carer,remission,pancreatic,casual,long,personal journal,young adult,False
76,"The oncologist confirmed the cancer has returned.  It's a blow, of course, but I'm determined to make the most of whatever time remains.",acceptance,medium,close friend,relapse,ovarian,formal,medium,SMS,elderly,False
77,my head hurts so bad rn i cant even think about this stupid history test  u coming over later?,anxiety,high,neighbor,treatment,brain,messy,short,SMS,teen,True
78,Some days this just feels overwhelming.,sadness,low,coworker,treatment,ovarian,formal,short,SMS,elderly,False
79,"Seriously? Remission means I can finally get on with my life, right?  Just when I start planning things again, bam! Another round of tests and checkups. This is never going to end.",anger,medium,neighbor,remission,lymphoma,casual,medium,SMS,middle-aged,False
80,"They said it's melanoma, and I can barely breathe. I have to fight this, for my family, for myself, even if I feel like everything is falling apart right now.",hope,high,neighbor,diagnosis,melanoma,formal,medium,online forum,teen,False
81,Wish I hadn't eaten so much red meat rn; maybe this wouldn't be happening. My car needs a wash.,guilt,low,patient,diagnosis,prostate,formal,short,personal journal,young adult,True
82,"He just had a cough, they said it was nothing...  It can't be true.",denial,medium,neighbor,bereavement,lung,messy,short,SMS,middle-aged,False
83,"My head is spinning.  I thought I was doing okay, you know?  Just pushing through. But then Dad started crying when he dropped me off at chemo today. It hit me – this isn't going away. This tumor... it's winning. What am I supposed to do now? My future just… evaporated.",acceptance,high,adult child,palliative,brain,messy,long,online forum,young adult,False
84,"They said it’s time to stop fighting so hard with this breast cancer. I get why, it’s been a long road, but part of me still wishes things were different. It feels like we're just starting the next chapter and now they want us to close the book. I try to be strong for him, but sometimes at night… well, let’s just say sleep doesn’t always come easy these days.",anxiety,low,spouse,palliative,breast,casual,long,personal journal,elderly,False
85,"They did scans today and the doctor said it looks like... like a tumor in my baby's head. My little one. It doesn't even feel real. I can barely breathe just typing this. How is this happening to us? We were supposed to be picking out birthday decorations next week, not dealing with stuff like this.",sadness,medium,parent of a sick child,diagnosis,brain,messy,long,online forum,teen,False
86,"It doesn't seem fair.  He fought so hard, followed every instruction, never complained. Still, it wasn't enough. How can something like this just...happen? I can barely breathe thinking about it, everything feels shattered. What's the point of any of it if we're all just going to be ripped away like this?",anger,high,close friend,bereavement,brain,formal,long,online forum,middle-aged,False
87,"They did say it was melanoma but I remember when my Aunt Betty had a spot like that and they got rid of it right away! So praying we catch this early too, doctors are pretty amazing these days.",hope,low,nurse or carer,diagnosis,melanoma,messy,medium,online forum,elderly,False
88,"Is this all my fault? I knew he wasn't sleeping well, should have pushed him to see a doctor sooner. Maybe if things were different...",guilt,medium,spouse,relapse,lymphoma,messy,medium,personal journal,young adult,False
89,"It just doesn't make sense.  He was fine last week! I don't understand how this can happen so fast. They're telling me it's leukemia? Like some kind of awful joke. Maybe they got it wrong. I need to see those tests again, there must be a mistake.",denial,high,support-group member,bereavement,leukemia,messy,long,SMS,elderly,False
90,"It's been quiet on that front lately, which is good news I guess. Trying to focus on everyday things for now.",acceptance,low,close friend,remission,prostate,formal,medium,SMS,young adult,False
91,"Been in remission for a few months now, thank goodness. Still can't help but think that it could all come back any day. My grandkids are coming to visit next week tho, so gotta stay positive rn!   Need more coffee...",anxiety,medium,coworker,remission,breast,casual,medium,online forum,elderly,True
92,"I just can't stop thinking about how different everything is now.  It's like a part of me is gone, you know? I don't even recognize myself anymore. Everything feels so empty and pointless. Wish it hadn't happened. I just want things to be normal again.",sadness,high,close friend,remission,leukemia,messy,long,SMS,teen,False
93,"This isn't fair.  He's only just starting school, and now we have this?!  Prostate cancer? Seriously?",anger,low,parent of a sick child,diagnosis,prostate,messy,medium,SMS,young adult,False
94,"This recurrence is certainly a setback, but I've been through treatments before and come out stronger. I know there are new options available, and I'm determined to explore every avenue to get back to enjoying life with my family.",hope,medium,neighbor,relapse,breast,formal,medium,online forum,elderly,False
95,"If only I hadn't pushed him so hard to work all those late nights. Maybe if we'd just relaxed more, gone on that trip he always wanted... it wouldn't have come to this.  I can't stop thinking about all the things I should have done differently.",guilt,high,close friend,bereavement,brain,casual,medium,personal journal,middle-aged,False
96,"Sure, chemo was rough, but I'm back to hiking every weekend now! Feel like my old self again.",denial,low,support-group member,remission,lymphoma,messy,medium,SMS,middle-aged,False
97,Wish i'd learned to make that bread dough before rn it's just gonna sit there forever  😔,acceptance,medium,spouse,bereavement,prostate,casual,short,personal journal,young adult,True
98,"My head is pounding again and I can barely focus. Everything was supposed to be better after chemo, but it feels like this tumor's gonna win anyway.  What if they missed something? What if it comes back? I just can't deal with this right now. I need a break from all of it.",anxiety,high,neighbor,remission,brain,messy,long,SMS,teen,False
99,"It's strange seeing him go through this. He was always so full of life, and now it feels like a part of him is missing.  I know he's fighting hard, but I can't help but worry about what the future holds.",sadness,low,close friend,treatment,lymphoma,formal,medium,online forum,young adult,False
100,"This damn leukemia, rn it's stealing everything, even my good fishing spot  🤬",anger,medium,patient,palliative,leukemia,messy,short,personal journal,elderly,True
101,"This chemo is KILLING me rn ugh.  Lost 10 pounds already and can't even taste my coffee anymore. Still gotta beat this damn leukemia though, for my grandkids.  Gotta see them graduate, dammit!",hope,high,patient,palliative,leukemia,casual,medium,SMS,middle-aged,True
102,rn shouldve eaten more veggies 😔 forgot to buy broccoli at the store again,guilt,low,patient,remission,ovarian,formal,short,SMS,elderly,True
103,"this chemo stuff is a drag rn but whatever i'm still gonna hit up that new taco place this weekend, u guys gotta try their carnitas. my doc said everything's looking good anyway so no worries. 🍔💪",denial,medium,patient,treatment,colon,messy,medium,online forum,young adult,True
104,"The fog in my head is clearing, but what's left behind terrifies me.",acceptance,high,coworker,palliative,brain,messy,short,personal journal,elderly,False
105,"They say I'm in remission now, which is awesome, but every little headache makes me think it's all coming back.",anxiety,low,neighbor,remission,brain,casual,medium,personal journal,teen,False
106,"Been real quiet here lately cuz, ugh, life's kinda a mess rn. Just got back from another round of chemo and all I can think about is how this was supposed to be ""our year"". We were gonna finally go on that backpacking trip through Europe we always talked about. Guess those plans are on hold indefinitely now.  Think I just need to eat some ice cream and watch a dumb movie, you know? Anything to forget for a bit.  My dog keeps trying to lick my face, at least he's cheerful.",sadness,medium,spouse,treatment,prostate,casual,long,online forum,young adult,True
107,"This is utterly unfair! I ate right, exercised, and never smoked a day in my life.  Why me? How could this possibly be happening?",anger,high,support-group member,diagnosis,colon,formal,medium,SMS,elderly,False
108,"We got the news today - remission! It feels unreal after everything we've been through. Still have a lot of appointments ahead but for now, I just want to soak in this good feeling and keep fighting for my little one.",hope,low,parent of a sick child,remission,leukemia,messy,medium,online forum,young adult,False
109,I knew I shouldn't have let him eat those gummy snacks so much.,guilt,medium,parent of a sick child,relapse,lung,messy,short,personal journal,young adult,False
110,"They said it's breast cancer, but they have to be wrong. This can't be happening, I just don't understand.  My mother went through this, and she was gone in a year...",denial,high,adult child,diagnosis,breast,formal,medium,personal journal,middle-aged,False
111,"It's been quiet since the doctors talked to us last week. Just thinking about John and all the good times we shared. He'd have wanted me to keep going with my gardening, he always said it kept me young.",acceptance,low,neighbor,bereavement,leukemia,messy,medium,SMS,elderly,False
112,"so i guess this is it, right? chemo didn't work like they thought rn im freaking out.  Anyone else have lymphoma come back??? gotta study for my history test tomorrow tho ugh",anxiety,medium,patient,relapse,lymphoma,messy,medium,online forum,teen,True
113,"The silence in the house is deafening now, and I can't stop the sobs from wracking my body.",sadness,high,patient,bereavement,leukemia,messy,short,online forum,elderly,False
114,Remission they say.  Great. Still feels like a ticking time bomb even though they tell me it's gone. What a load. Like I haven't been through enough already.,anger,low,neighbor,remission,colon,messy,medium,personal journal,elderly,False
115,"I know it's been rough, but I'm determined to beat this thing. They say remission is possible, and that's what I'm holding onto.  Gotta keep pushing forward.",hope,medium,neighbor,remission,pancreatic,casual,medium,personal journal,teen,False
116,"This is all my fault. I should have been more careful with her diet, made sure she got enough rest. If only I'd done things differently... maybe this wouldn't be happening.  Everything's falling apart.",guilt,high,nurse or carer,relapse,ovarian,casual,long,SMS,teen,False
117,"It's amazing how quickly things can change. The doctor said everything looks clear now, which is fantastic news. I guess we just move on with life as normal from here.",denial,low,nurse or carer,remission,lymphoma,formal,medium,personal journal,teen,False
118,"The oncologist confirmed what I suspected;  treatment options are limited now, and I'm focusing on making each day count.",acceptance,medium,support-group member,relapse,pancreatic,formal,short,personal journal,middle-aged,False
119,Every breath feels like it could be my last; I can barely function.,anxiety,high,neighbor,bereavement,ovarian,formal,short,SMS,young adult,False
120,"Her smile will always be with me now, even though she isn't.",sadness,low,neighbor,bereavement,ovarian,formal,short,personal journal,young adult,False
121,"It's just not FAIR! I mean, we were supposed to be backpacking through Europe this summer, remember?  Now she's stuck in bed and it feels like everyone expects me to be okay with it.",anger,medium,close friend,palliative,breast,messy,medium,online forum,young adult,False
122,"They said it's back, but we WILL fight this goddamn monster AGAIN.",hope,high,spouse,relapse,lung,messy,short,SMS,middle-aged,False
123,Maybe I should have pushed her to go to the doctor sooner.,guilt,low,close friend,relapse,ovarian,casual,short,SMS,young adult,False
124,"It just seems so unfair.  He always took care of himself, and it still happened. I know he'll be fine.",denial,medium,support-group member,bereavement,colon,formal,medium,SMS,middle-aged,False
125,"Sometimes I just can't stop thinking about it, you know? Like it's this dark cloud hanging over everything. I thought remission would feel different, but honestly, it just feels like waiting for the other shoe to drop. Everything seems so fragile now, and I don't know if I can ever really relax again.",acceptance,high,support-group member,remission,breast,casual,long,SMS,elderly,False
126,I keep thinking about what the doctor said yesterday.  Will these new pills even help? Sometimes I wish I knew exactly how much time...,anxiety,low,neighbor,palliative,ovarian,casual,medium,personal journal,elderly,False
127,cant stop thinkin bout how this is all gonna end rn  the doc says things r lookin up but i just keep picturing him not bein around anymore...  anyway my oven mitt went missing again today gotta find that thing 🙄,sadness,medium,nurse or carer,treatment,prostate,messy,medium,online forum,elderly,True
128,"It's not fair! Why did this have to happen?  He was supposed to see me graduate, walk down the aisle… all these things we talked about. Now I just feel numb, like I'm going through the motions but nothing actually matters anymore.  How could something so horrible be real?",anger,high,neighbor,bereavement,pancreatic,casual,long,personal journal,young adult,False
129,rn  this chemo is rough but gotta push thru it. they say the melanoma shrunk some so fingers crossed! anyone got a good recipe for banana bread? 😜,hope,low,patient,treatment,melanoma,messy,medium,online forum,elderly,True
130,"It just doesn't feel fair. I mean, I know Dad has always stressed about eating healthy and getting enough exercise – what else could he have done? Now it turns out that wasn't enough anyway. Makes you wonder if anything ever really matters.",guilt,medium,neighbor,diagnosis,colon,casual,long,online forum,teen,False
131,"It feels like this whole thing was just a bad dream I'll wake up from. Everything is fine now, right? This isn't really happening.  My brain hurts even thinking about it.",denial,high,close friend,remission,brain,messy,medium,personal journal,teen,False
132,"So they say it came back.  Lymphoma's stubborn like that, I guess.  Doc says there are some new things we can try, which is good.   Honestly though, I kinda knew this could happen. It feels weird to be okay with it.",acceptance,low,support-group member,relapse,lymphoma,messy,long,SMS,teen,False
133,"Every day feels like an uphill battle since we lost our son to leukemia. The doctors did everything they could, but it still wasn't enough.  We keep asking ourselves what more we could have done. Will this crushing weight of grief ever lift?",anxiety,medium,parent of a sick child,bereavement,leukemia,formal,long,online forum,elderly,False
134,"Everything is falling apart. He was supposed to get better this time, we were making plans for when he came home, but now they're saying it's back and…I can't even breathe. I don't know what we're going to do.",sadness,high,spouse,relapse,colon,messy,medium,online forum,teen,False
135,"Three years I spent going through this crap, and for what? My life is on hold forever because of this stupid lymphoma diagnosis.  I guess I'll just have to figure it out, but it sucks.",anger,low,patient,remission,lymphoma,casual,medium,online forum,young adult,False
136,"This treatment is really rough, but I'm trying to focus on getting stronger every day.  I know it will take time, but I'm determined to beat this and get back to living my life.",hope,medium,adult child,treatment,colon,formal,long,SMS,young adult,False
137,If only I hadn't pushed her to eat healthier all those years. Maybe this wouldn't be happening. What kind of daughter am I?,guilt,high,adult child,treatment,ovarian,messy,medium,SMS,middle-aged,False
138,"The dermatologist said I'm cancer-free now, but it felt like a routine checkup.",denial,low,neighbor,remission,melanoma,formal,short,SMS,middle-aged,False
139,"still can't believe he's gone rn.  Thinkin bout all our fishing trips and missin his laugh already. It's quiet now, way too quiet.",acceptance,medium,close friend,bereavement,pancreatic,messy,medium,SMS,middle-aged,True
140,The scan results are back. It's everywhere again. I can't even breathe properly thinking about what this means for my family.,anxiety,high,coworker,relapse,lung,formal,medium,personal journal,middle-aged,False
141,It feels wrong that something like this could happen to him.,sadness,low,close friend,diagnosis,pancreatic,casual,short,personal journal,teen,False
142,"Is this some kind of joke? I just spent a year dealing with that crap, and now they're saying it might come back? Screw this. I deserve a break.",anger,medium,neighbor,remission,prostate,messy,medium,online forum,young adult,False
143,"They said it's stage 4.  Four! Like I don't feel like I'm already drowning.  But Dad... he always fought.  Always kept going. He'd want me to be strong too, wouldn't he? I have to find a way, for him. For us. This can't be the end.",hope,high,adult child,bereavement,lung,messy,long,online forum,middle-aged,False
144,Maybe if I'd eaten healthier this wouldn't be happening.,guilt,low,patient,palliative,lymphoma,messy,short,online forum,middle-aged,False
145,"The doctor said it was contained and caught early. I'm sure this will all be a minor inconvenience, just a quick blip on the radar before everything goes back to normal. I'll be back in the office soon enough, feeling as good as new.",denial,medium,coworker,treatment,prostate,formal,long,SMS,middle-aged,False
